transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
1000602_xfmr_c,1,181906.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000602_xfmr_c,2,x_1000602.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000601_xfmr_c,1,181907.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000601_xfmr_c,2,x_1000601.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000603_xfmr_b,1,181910.2,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000603_xfmr_b,2,x_1000603.2,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000604_xfmr_b,1,181911.2,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000604_xfmr_b,2,x_1000604.2,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000605_xfmr_b,1,181912.2,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000605_xfmr_b,2,x_1000605.2,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000606_xfmr_b,1,181913.2,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000606_xfmr_b,2,x_1000606.2,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1001349_xfmr_b,1,181914.2,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1001349_xfmr_b,2,x_1001349.2,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000607_xfmr_b,1,181915.2,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000607_xfmr_b,2,x_1000607.2,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1001933_xfmr_abc,1,181935.1.2.3,delta,12.47,999.99,1,0.005,-1,0,1.1,0.9,32
1001933_xfmr_abc,2,x_1001933.1.2.3,wye,0.208,999.99,1,0.005,-1,0,1.1,0.9,32
1000198_xfmr_a,1,181936.1,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000198_xfmr_a,2,x_1000198.1,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000548_xfmr_a,1,181937.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000548_xfmr_a,2,x_1000548.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000069_xfmr_abc,1,181938.1.2.3,delta,12.47,300,1,0.00349,-1,0,1.1,0.9,32
1000069_xfmr_abc,2,x_1000069.1.2.3,wye,0.208,300,1,0.00349,-1,0,1.1,0.9,32
1001316_xfmr_abc,1,181941.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1001316_xfmr_abc,2,x_1001316.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000531_xfmr_a,1,181950.1,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000531_xfmr_a,2,x_1000531.1,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000533_xfmr_a,1,181951.1,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000533_xfmr_a,2,x_1000533.1,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000532_xfmr_a,1,181952.1,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000532_xfmr_a,2,x_1000532.1,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000582_xfmr_a,1,181953.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000582_xfmr_a,2,x_1000582.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000581_xfmr_a,1,181954.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000581_xfmr_a,2,x_1000581.1,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000537_xfmr_a,1,181955.1,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000537_xfmr_a,2,x_1000537.1,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000536_xfmr_a,1,181956.1,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000536_xfmr_a,2,x_1000536.1,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000534_xfmr_c,1,181957.3,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000534_xfmr_c,2,x_1000534.3,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000535_xfmr_c,1,181958.3,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000535_xfmr_c,2,x_1000535.3,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000586_xfmr_c,1,181959.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000586_xfmr_c,2,x_1000586.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000589_xfmr_c,1,181960.3,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000589_xfmr_c,2,x_1000589.3,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000587_xfmr_c,1,181961.3,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000587_xfmr_c,2,x_1000587.3,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000588_xfmr_c,1,181962.3,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000588_xfmr_c,2,x_1000588.3,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000585_xfmr_c,1,181965.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000585_xfmr_c,2,x_1000585.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000584_xfmr_c,1,181966.3,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000584_xfmr_c,2,x_1000584.3,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000583_xfmr_c,1,181967.3,wye,7.19956121359083,75,1,0.004,-1,0,1.1,0.9,32
1000583_xfmr_c,2,x_1000583.3,wye,0.24,75,1,0.004,-1,0,1.1,0.9,32
1000016_xfmr_b,1,181975.2,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000016_xfmr_b,2,x_1000016.2,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000015_xfmr_a,1,181976.1,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
